1,4,7,10,12,0,F_cos,F_emit,F_with,F_con
0.0,0.0,0.0,0.0,0.0,283.39999999999964,1449.9555999999973,1.264247430202073,5313.749999999993,4841.416666666661
0.0,0.0,0.0,0.0,100.0,183.39999999999984,1033.1555999999991,0.401620899481604,98272.08333333331,3966.4166666666633
0.0,0.0,0.0,100.0,100.0,83.40000000000005,786.3556000000002,0.2463504274509284,191230.41666666663,3091.4166666666674
0.0,0.0,100.0,100.0,0.0,83.39999999999996,696.3555999999999,0.2536182000299463,399313.75,4341.416666666665
0.0,100.0,0.0,0.0,0.0,183.3999999999997,1003.1555999999982,0.3957105178498019,5313.7499999999945,4841.416666666661
0.0,100.0,0.0,0.0,100.0,83.39999999999986,786.3555999999995,0.2463504274509283,98272.08333333331,3966.416666666664
0.0,100.0,0.0,100.0,0.0,83.3999999999999,756.3555999999996,0.2404400458191266,98272.08333333331,3966.416666666665
0.0,100.0,100.0,0.0,0.0,83.39999999999982,696.3555999999994,0.2536182000299462,306355.4166666666,5216.416666666662
140.0,0.0,0.0,100.0,0.0,43.39999999999986,850.8355999999995,0.2303629822317156,613063.75,4713.08333333333
140.0,100.0,0.0,0.0,0.0,43.39999999999975,850.8355999999992,0.2303629822317156,520105.4166666666,5588.0833333333285
